Logical cores | 1.2GHz | 1.4GHz | 1.6GHz | 1.8GHz | 2.0GHz | 2.2GHz | 2.4GHz | 2.6GHz | 2.8GHz | 3.0GHz | 3.2GHz | 3.4GHz | 3.6GHz | 3.8GHz | 4.0GHz | 4.2GHz | 4.4GHz | 4.6GHz | 4.8GHz | 5.0GHz
--------------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------|--------
1             | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1      | 1
2             | 1      | 1      | 1      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2      | 2
3             | 2      | 2      | 2      | 2      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3      | 3
4             | 2      | 3      | 3      | 3      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4      | 4
5             | 3      | 3      | 4      | 4      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5      | 5
6             | 3      | 4      | 4      | 5      | 5      | 6      | 6      | 6      | 6      | 6      | 6      | 6      | 6      | 6      | 6      | 6      | 6      | 6      | 6      | 6
7             | 4      | 4      | 5      | 6      | 6      | 7      | 7      | 7      | 7      | 7      | 7      | 7      | 7      | 7      | 7      | 7      | 7      | 7      | 7      | 7
8             | 4      | 5      | 6      | 7      | 7      | 8      | 8      | 8      | 8      | 8      | 8      | 8      | 8      | 8      | 8      | 8      | 8      | 8      | 8      | 8
9             | 5      | 6      | 7      | 7      | 8      | 9      | 9      | 9      | 9      | 9      | 9      | 9      | 9      | 9      | 9      | 9      | 9      | 9      | 9      | 9
10            | 5      | 6      | 7      | 8      | 9      | 10     | 10     | 10     | 10     | 10     | 10     | 10     | 10     | 10     | 10     | 10     | 10     | 10     | 10     | 10
11            | 6      | 7      | 8      | 9      | 10     | 11     | 11     | 11     | 11     | 11     | 11     | 11     | 11     | 11     | 11     | 11     | 11     | 11     | 11     | 11
12            | 7      | 8      | 9      | 10     | 11     | 12     | 12     | 12     | 12     | 12     | 12     | 12     | 12     | 12     | 12     | 12     | 12     | 12     | 12     | 12
13            | 7      | 8      | 9      | 11     | 12     | 13     | 13     | 13     | 13     | 13     | 13     | 13     | 13     | 13     | 13     | 13     | 13     | 13     | 13     | 13
14            | 8      | 9      | 10     | 11     | 13     | 14     | 14     | 14     | 14     | 14     | 14     | 14     | 14     | 14     | 14     | 14     | 14     | 14     | 14     | 14
15            | 8      | 10     | 11     | 12     | 14     | 15     | 15     | 15     | 15     | 15     | 15     | 15     | 15     | 15     | 15     | 15     | 15     | 15     | 15     | 15
16            | 9      | 10     | 12     | 13     | 15     | 16     | 16     | 16     | 16     | 16     | 16     | 16     | 16     | 16     | 16     | 16     | 16     | 16     | 16     | 16
17            | 9      | 11     | 12     | 14     | 15     | 17     | 17     | 17     | 17     | 17     | 17     | 17     | 17     | 17     | 17     | 17     | 17     | 17     | 17     | 17
18            | 10     | 11     | 13     | 15     | 16     | 18     | 18     | 18     | 18     | 18     | 18     | 18     | 18     | 18     | 18     | 18     | 18     | 18     | 18     | 18
19            | 10     | 12     | 14     | 16     | 17     | 19     | 19     | 19     | 19     | 19     | 19     | 19     | 19     | 19     | 19     | 19     | 19     | 19     | 19     | 19
20            | 11     | 13     | 15     | 16     | 18     | 20     | 20     | 20     | 20     | 20     | 20     | 20     | 20     | 20     | 20     | 20     | 20     | 20     | 20     | 20
21            | 11     | 13     | 15     | 17     | 19     | 21     | 21     | 21     | 21     | 21     | 21     | 21     | 21     | 21     | 21     | 21     | 21     | 21     | 21     | 21
22            | 12     | 14     | 16     | 18     | 20     | 22     | 22     | 22     | 22     | 22     | 22     | 22     | 22     | 22     | 22     | 22     | 22     | 22     | 22     | 22
23            | 13     | 15     | 17     | 19     | 21     | 23     | 23     | 23     | 23     | 23     | 23     | 23     | 23     | 23     | 23     | 23     | 23     | 23     | 23     | 23
24            | 13     | 15     | 17     | 20     | 22     | 24     | 24     | 24     | 24     | 24     | 24     | 24     | 24     | 24     | 24     | 24     | 24     | 24     | 24     | 24
25            | 14     | 16     | 18     | 20     | 23     | 25     | 25     | 25     | 25     | 25     | 25     | 25     | 25     | 25     | 25     | 25     | 25     | 25     | 25     | 25
26            | 14     | 17     | 19     | 21     | 24     | 26     | 26     | 26     | 26     | 26     | 26     | 26     | 26     | 26     | 26     | 26     | 26     | 26     | 26     | 26
27            | 15     | 17     | 20     | 22     | 25     | 27     | 27     | 27     | 27     | 27     | 27     | 27     | 27     | 27     | 27     | 27     | 27     | 27     | 27     | 27
28            | 15     | 18     | 20     | 23     | 25     | 28     | 28     | 28     | 28     | 28     | 28     | 28     | 28     | 28     | 28     | 28     | 28     | 28     | 28     | 28
29            | 16     | 18     | 21     | 24     | 26     | 29     | 29     | 29     | 29     | 29     | 29     | 29     | 29     | 29     | 29     | 29     | 29     | 29     | 29     | 29
30            | 16     | 19     | 22     | 25     | 27     | 30     | 30     | 30     | 30     | 30     | 30     | 30     | 30     | 30     | 30     | 30     | 30     | 30     | 30     | 30
31            | 17     | 20     | 23     | 25     | 28     | 31     | 31     | 31     | 31     | 31     | 31     | 31     | 31     | 31     | 31     | 31     | 31     | 31     | 31     | 31
32            | 17     | 20     | 23     | 26     | 29     | 32     | 32     | 32     | 32     | 32     | 32     | 32     | 32     | 32     | 32     | 32     | 32     | 32     | 32     | 32
